"Kreis","wa_2","tot","one","multi","circ","year2"
"Stadt Erfurt",933.471,923.384,817.758,91.88,13.746,2004
"Stadt Gera",NA,NA,NA,NA,NA,2004
"Stadt Jena",531.237,472.173,280.3,13.655,178.218,2004
"Stadt Suhl",134.515,134.515,108.689,5.565,20.261,2004
"Stadt Weimar",NA,NA,NA,NA,NA,2004
"Stadt Eisenach",NA,NA,NA,NA,NA,2004
"Eichsfeld",516.574,491.182,405.218,57.35,28.614,2004
"Nordhausen",5111.536,4375.989,4353.655,2.5,19.834,2004
"Wartburgkreis",14681.514,13975.789,13760.731,34.525,180.533,2004
"Unstrut-Hainich-Kreis",246.831,237.831,176.382,41.695,19.754,2004
"Kyffhäuserkreis",NA,NA,NA,NA,NA,2004
"Schmalkalden-Meiningen",1487.222,1409.633,909.395,119.873,380.365,2004
"Gotha",1609.09,1570.159,1345.669,136.843,87.647,2004
"Sömmerda",NA,NA,NA,NA,NA,2004
"Hildburghausen",198,197,189,4,4,2004
"Ilm-Kreis",361.166,361.166,245.498,51.19,64.478,2004
"Weimarer Land",455.602,399.542,378.36,1.8,19.382,2004
"Sonneberg",414.992,412.181,394.429,NA,17.752,2004
"Saalfeld-Rudolstadt",3694.144,3520.332,2724.351,183.16,612.821,2004
"Saale-Holzland-Kreis",596.438,591.785,435.309,5.6,150.876,2004
"Saale-Orla-Kreis",11150.285,11136.356,9462.168,7.358,1666.83,2004
"Greiz",3686.208,3467.521,3392.875,45.449,29.197,2004
"Altenburger Land",1477.477,1473.773,1463.068,5.139,5.566,2004
"Stadt Erfurt",2466,2356,1944,103,308,2007
"Stadt Gera",205,204,166,22,16,2007
"Stadt Jena",NA,NA,NA,NA,NA,2007
"Stadt Suhl",NA,NA,NA,NA,NA,2007
"Stadt Weimar",NA,NA,NA,NA,NA,2007
"Stadt Eisenach",803,431,383,0,48,2007
"Eichsfeld",995,836,773,61,2,2007
"Nordhausen",4550,3957,3789,71,97,2007
"Wartburgkreis",16219,15548,15192,45,312,2007
"Unstrut-Hainich-Kreis",897,886,848,27,11,2007
"Kyffhäuserkreis",351,351,215,0,135,2007
"Schmalkalden-Meiningen",3271,2623,1243,1256,125,2007
"Gotha",1536,1456,1156,221,79,2007
"Sömmerda",2669,2665,2569,33,63,2007
"Hildburghausen",158,153,137,15,1,2007
"Ilm-Kreis",394,394,188,34,172,2007
"Weimarer Land",897,861,745,17,100,2007
"Sonneberg",416,408,276,0,132,2007
"Saalfeld-Rudolstadt",11320,7125,3408,2737,980,2007
"Saale-Holzland-Kreis",746,728,421,18,288,2007
"Saale-Orla-Kreis",11480,11321,9955,1338,28,2007
"Greiz",5101,4656,3419,618,618,2007
"Altenburger Land",2570,2568,698,2,1869,2007
"Stadt Erfurt",2319,2259,1921,102,235,2010
"Stadt Gera",182,181,134,33,14,2010
"Stadt Jena",1140,1136,434,NA,701,2010
"Stadt Suhl",117,117,108,NA,10,2010
"Stadt Weimar",344,344,308,36,NA,2010
"Stadt Eisenach",714,388,23,NA,365,2010
"Eichsfeld",857,770,610,30,130,2010
"Nordhausen",3562,3476,3252,173,51,2010
"Wartburgkreis",12841,12241,11259,150,832,2010
"Unstrut-Hainich-Kreis",672,479,430,28,21,2010
"Kyffhäuserkreis",290,290,222,NA,69,2010
"Schmalkalden-Meiningen",3039,2364,1137,1159,68,2010
"Gotha",1563,1516,1299,92,125,2010
"Sömmerda",2235,2012,1886,69,57,2010
"Hildburghausen",178,178,167,10,1,2010
"Ilm-Kreis",762,754,399,48,308,2010
"Weimarer Land",812,809,697,9,103,2010
"Sonneberg",500,388,269,NA,119,2010
"Saalfeld-Rudolstadt",11996,7850,4128,2755,967,2010
"Saale-Holzland-Kreis",691,677,461,12,205,2010
"Saale-Orla-Kreis",10834,10713,9677,1002,34,2010
"Greiz",6692,4388,3504,822,62,2010
"Altenburger Land",2553,2551,739,2,1809,2010
"Stadt Erfurt",2304,2299,1881,207,212,2013
"Stadt Gera",367,244,220,NA,24,2013
"Stadt Jena",974,967,477,5,485,2013
"Stadt Suhl",190,190,190,NA,NA,2013
"Stadt Weimar",417,417,389,28,NA,2013
"Stadt Eisenach",383,383,215,NA,168,2013
"Eichsfeld",867,852,740,38,74,2013
"Nordhausen",3967,3967,3898,41,28,2013
"Wartburgkreis",12126,11553,10571,258,724,2013
"Unstrut-Hainich-Kreis",901,821,761,31,29,2013
"Kyffhäuserkreis",329,329,228,24,77,2013
"Schmalkalden-Meiningen",2409,2382,1017,1274,91,2013
"Gotha",1666,1599,1483,18,97,2013
"Sömmerda",1799,1799,731,32,1036,2013
"Hildburghausen",223,221,208,10,3,2013
"Ilm-Kreis",885,885,327,393,165,2013
"Weimarer Land",789,789,771,NA,18,2013
"Sonneberg",475,355,310,NA,45,2013
"Saalfeld-Rudolstadt",6693,6459,2581,388,3491,2013
"Saale-Holzland-Kreis",813,793,591,10,192,2013
"Saale-Orla-Kreis",10885,10874,10842,26,7,2013
"Greiz",15903,4112,2873,1187,53,2013
"Altenburger Land",2587,2587,821,2,1763,2013
"Stadt Erfurt",2796,2791,2388,216,187,2016
"Stadt Gera",378,329,302,NA,27,2016
"Stadt Jena",1153,1153,697,81,375,2016
"Stadt Suhl",132,132,132,NA,NA,2016
"Stadt Weimar",421,421,396,25,NA,2016
"Stadt Eisenach",478,478,360,38,80,2016
"Eichsfeld",900,900,836,NA,63,2016
"Nordhausen",5422,5422,4113,41,1269,2016
"Wartburgkreis",11083,10523,9434,353,735,2016
"Unstrut-Hainich-Kreis",986,910,867,17,26,2016
"Kyffhäuserkreis",278,278,175,62,41,2016
"Schmalkalden-Meiningen",2363,2357,1079,1204,74,2016
"Gotha",1805,1791,1291,18,482,2016
"Sömmerda",1939,1939,896,11,1033,2016
"Hildburghausen",252,252,240,11,2,2016
"Ilm-Kreis",868,868,616,39,213,2016
"Weimarer Land",994,994,951,21,21,2016
"Sonneberg",341,321,281,NA,40,2016
"Saalfeld-Rudolstadt",8420,8408,4004,858,3545,2016
"Saale-Holzland-Kreis",637,632,405,5,222,2016
"Saale-Orla-Kreis",11099,11099,11066,31,2,2016
"Greiz",13066,3960,2705,1213,42,2016
"Altenburger Land",3036,3013,907,2,2104,2016
"Stadt Erfurt",3029,3024,2590,334,99,2019
"Stadt Gera",NA,NA,NA,NA,NA,2019
"Stadt Jena",1419,1419,661,45,713,2019
"Stadt Suhl",234,234,234,NA,NA,2019
"Stadt Weimar",NA,NA,NA,NA,NA,2019
"Stadt Eisenach",391,391,206,10,175,2019
"Eichsfeld",922,922,875,NA,47,2019
"Nordhausen",4969,4955,3519,94,1342,2019
"Wartburgkreis",11820,11276,9142,1397,737,2019
"Unstrut-Hainich-Kreis",1144,1036,996,15,25,2019
"Kyffhäuserkreis",315,315,169,NA,145,2019
"Schmalkalden-Meiningen",3021,3013,1766,1195,52,2019
"Gotha",1699,1698,1218,91,389,2019
"Sömmerda",2150,1650,1048,5,597,2019
"Hildburghausen",301,284,237,11,36,2019
"Ilm-Kreis",457,457,416,NA,42,2019
"Weimarer Land",689,689,681,3,5,2019
"Sonneberg",376,360,320,NA,40,2019
"Saalfeld-Rudolstadt",9494,9483,4843,606,4034,2019
"Saale-Holzland-Kreis",719,717,388,5,324,2019
"Saale-Orla-Kreis",10281,10277,623,9614,41,2019
"Greiz",9716,4085,2427,1491,168,2019
"Altenburger Land",2412,2412,874,7,1531,2019
