"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ"
"Altenburger Land",14,1477.477,1136.321,341.156,341.156,0,"2004",8.29,301,397,105.5340714,4.659033853,5.707110265,NA,NA,3.721604534,NA,1477.477,1473.773,1463.068,5.139,5.566
"Altenburger Land",18,2570,2083,487,487,0,"2007",9.28,354,468,142.7777778,4.96128942,5.869296913,73.94517817,NA,5.491452991,-47.55605926,2570,2568,698,2,1869
"Altenburger Land",19,2553,2049,503,503,0,"2010",7.2,357,496,134.3684211,4.900585438,5.877735782,-0.661478599,NA,5.147177419,6.269298356,2553,2551,739,2,1809
"Altenburger Land",23,2588,2012,575,575,0,"2013",8.08,378,509,112.5217391,4.72314644,5.934894196,1.370936154,NA,5.084479371,1.218105438,2587,2587,821,2,1763
"Altenburger Land",20,3037,2294,743,743,0,"2016",9.03,474,643,151.85,5.022893191,6.161207322,17.34930448,NA,4.723172628,7.106071569,3036,3013,907,2,2104
"Altenburger Land",18,2452,1708,744,744,0,"2019",9.78,507,662,136.2222222,4.914287539,6.228511004,-19.26243003,NA,3.703927492,21.57967146,2412,2412,874,7,1531
"Eichsfeld",15,516.574,131.267,385.307,304.512,80.795,"2004",8.29,397,534,34.43826667,3.539168349,5.983936281,NA,NA,0.967367041,NA,516.574,491.182,405.218,57.35,28.614
"Eichsfeld",14,995,344,651,419,233,"2007",9.28,503,665,71.07142857,4.263685408,6.22059017,92.61519163,188.3841822,1.496240602,-54.67144711,995,836,773,61,2
"Eichsfeld",12,857,242,615,420,195,"2010",7.2,502,675,71.41666667,4.268531269,6.21860012,-13.86934673,-16.30901288,1.26962963,15.14535641,857,770,610,30,130
"Eichsfeld",13,911,217,694,509,186,"2013",8.08,611,809,70.07692308,4.24959354,6.415096959,6.301050175,-4.615384615,1.126081582,11.30629312,867,852,740,38,74
"Eichsfeld",13,901,181,720,522,198,"2016",9.03,707,950,69.30769231,4.2385559,6.561030666,-1.097694841,6.451612903,0.948421053,15.77687908,900,900,836,0,63
"Eichsfeld",17,923,362,561,561,0,"2019",9.78,713,981,54.29411765,3.99441589,6.56948142,2.44173141,-100,0.940876656,0.795469073,922,922,875,0,47
"Gotha",24,1609.09,582.228,1026.862,975.048,51.814,"2004",8.29,705,844,67.04541667,4.20537025,6.558197803,NA,NA,1.906504739,NA,1609.09,1570.159,1345.669,136.843,87.647
"Gotha",25,1536,326,1210,1201,10,"2007",9.28,876,1036,61.44,4.118061089,6.775366091,-4.54231895,-80.70019686,1.482625483,22.23331776,1536,1456,1156,221,79
"Gotha",24,1563,312,1251,1244,7,"2010",7.2,800,986,65.125,4.1763085,6.684611728,1.7578125,-30,1.585192698,-6.91794498,1563,1516,1299,92,125
"Gotha",27,1696,328,1368,1166,202,"2013",8.08,923,1107,62.81481481,4.14019095,6.827629235,8.509277031,2785.714286,1.532068654,3.351267251,1666,1599,1483,18,97
"Gotha",29,1828,305,1523,851,672,"2016",9.03,1056,1260,63.03448276,4.143681922,6.962243464,7.783018868,232.6732673,1.450793651,5.304919137,1805,1791,1291,18,482
"Gotha",31,1725,500,1225,906,319,"2019",9.78,1106,1353,55.64516129,4.018995125,7.008505182,-5.634573304,-52.5297619,1.274944568,12.12088866,1699,1698,1218,91,389
"Greiz",17,3686.208,3401.768,284.44,96,188,"2004",8.29,393,564,216.8357647,5.379140222,5.973809612,NA,NA,6.535829787,NA,3686.208,3467.521,3392.875,45.449,29.197
"Greiz",24,5101,4870,231,165,66,"2007",9.28,452,624,212.5416667,5.359138048,6.11368218,38.38068823,-64.89361702,8.174679487,-25.07485282,5101,4656,3419,618,618
"Greiz",20,6692,6487,205,201,4,"2010",7.2,404,572,334.6,5.812935789,6.001414878,31.18996275,-93.93939394,11.6993007,-43.116323,6692,4388,3504,822,62
"Greiz",22,15946,15715,231,231,0,"2013",8.08,428,635,724.8181818,6.58592084,6.059123196,138.2845188,-100,25.11181102,-114.6436926,15903,4112,2873,1187,53
"Greiz",20,13122,12914,208,167,41,"2016",9.03,535,756,656.1,6.486313216,6.282266747,-17.70977048,Inf,17.35714286,30.88056118,13066,3960,2705,1213,42
"Greiz",22,9780,9469,311,256,55,"2019",9.78,594,838,444.5454545,6.09705231,6.386879319,-25.46867856,34.14634146,11.67064439,32.76171956,9716,4085,2427,1491,168
"Hildburghausen",11,197.655,153.031,44.624,44.624,0,"2004",8.29,316,371,17.96863636,2.888627814,5.755742214,NA,NA,0.532762803,NA,198,197,189,4,4
"Hildburghausen",8,158,125,32,32,0,"2007",9.28,323,392,19.75,2.983153491,5.777652323,-20.06273557,NA,0.403061224,24.34508903,158,153,137,15,1
"Hildburghausen",8,178,152,26,26,0,"2010",7.2,301,383,22.25,3.102342009,5.707110265,12.65822785,NA,0.464751958,-15.30554913,178,178,167,10,1
"Hildburghausen",8,224,172,52,52,0,"2013",8.08,376,464,28,3.33220451,5.929589143,25.84269663,NA,0.482758621,-3.874467261,223,221,208,10,3
"Hildburghausen",8,252,160,92,92,0,"2016",9.03,473,571,31.5,3.449987546,6.159095388,12.5,NA,0.441330998,8.581436077,252,252,240,11,2
"Hildburghausen",10,321,213,108,107,0,"2019",9.78,459,555,32.1,3.46885603,6.12905021,27.38095238,NA,0.578378378,-31.05319605,301,284,237,11,36
"Ilm0Kreis",19,361.166,125.945,235.221,234,1,"2004",8.29,529,627,19.00873684,2.944898707,6.270988432,NA,NA,0.576022329,NA,361.166,361.166,245.498,51.19,64.478
"Ilm0Kreis",15,394,105,289,289,0,"2007",9.28,603,707,26.26666667,3.268300708,6.401917197,9.091110459,-100,0.5572843,3.253003879,394,394,188,34,172
"Ilm0Kreis",16,762,130,631,554,78,"2010",7.2,810,957,47.625,3.863357833,6.697034248,93.40101523,Inf,0.796238245,-42.87828398,762,754,399,48,308
"Ilm0Kreis",15,885,113,772,772,0,"2013",8.08,686,841,59,4.077537444,6.530877628,16.14173228,-100,1.052318668,-32.16128156,885,885,327,393,165
"Ilm0Kreis",13,868,104,764,764,0,"2016",9.03,1045,1200,66.76923077,4.201242357,6.951772164,-1.920903955,NA,0.723333333,31.26290019,868,868,616,39,213
"Ilm0Kreis",14,528,102,426,426,0,"2019",9.78,1174,1337,37.71428571,3.630038954,7.068172,-39.17050691,NA,0.394913987,45.40359633,457,457,416,0,42
"Kyffhäuserkreis",2,89.3142857142857,NA,NA,NA,0,"2004",8.29,181,254,NA,NA,5.198497031,NA,NA,NA,NA,NA,NA,NA,0,0
"Kyffhäuserkreis",8,351,240,110,110,0,"2007",9.28,242,320,43.875,3.781344682,5.488937726,NA,NA,1.096875,NA,351,351,215,0,135
"Kyffhäuserkreis",7,290,223,68,68,0,"2010",7.2,251,335,41.42857143,3.723970774,5.525452939,-17.37891738,NA,0.865671642,21.07836884,290,290,222,0,69
"Kyffhäuserkreis",9,329,220,109,109,0,"2013",8.08,315,407,36.55555556,3.598833173,5.752572639,13.44827586,NA,0.808353808,6.621198001,329,329,228,24,77
"Kyffhäuserkreis",8,278,248,30,30,0,"2016",9.03,355,449,34.75,3.548179572,5.872117789,-15.50151976,NA,0.619153675,23.40560922,278,278,175,62,41
"Kyffhäuserkreis",8,315,293,22,22,0,"2019",9.78,398,495,39.375,3.673131097,5.986452005,13.30935252,NA,0.636363636,-2.779594506,315,315,169,0,145
"Nordhausen",12,5111.536,5076.52,35.016,35.016,0,"2004",8.29,252,350,425.9613333,6.054348575,5.529429088,NA,NA,14.60438857,NA,5111.536,4375.989,4353.655,2.5,19.834
"Nordhausen",16,4550,3835,716,136,579,"2007",9.28,293,403,284.375,5.65029379,5.680172609,-10.98566067,Inf,11.29032258,22.69226113,4550,3957,3789,71,97
"Nordhausen",11,3562,3424,137,137,0,"2010",7.2,340,452,323.8181818,5.780182191,5.828945618,-21.71428571,-100,7.880530973,30.20101138,3562,3476,3252,173,51
"Nordhausen",13,4056,3813,244,244,0,"2013",8.08,433,588,312,5.743003188,6.070737728,13.86861314,NA,6.897959184,12.468345,3967,3967,3898,41,28
"Nordhausen",14,5521,5240,281,281,0,"2016",9.03,520,691,394.3571429,5.977256953,6.253828812,36.11932939,NA,7.989869754,-15.82947276,5422,5422,4113,41,1269
"Nordhausen",15,5059,4629,430,430,0,"2019",9.78,542,685,337.2666667,5.820873913,6.295266001,-8.368049266,NA,7.38540146,7.56543364,4969,4955,3519,94,1342
"Saale0Holzland-Kreis",13,596.438,371.384,225.054,208,17,"2004",8.29,294,389,45.87984615,3.826025939,5.683579767,NA,NA,1.53325964,NA,596.438,591.785,435.309,5.6,150.876
"Saale0Holzland-Kreis",16,746,548,198,195,3,"2007",9.28,367,484,46.625,3.842136878,5.905361848,25.07586706,-82.35294118,1.541322314,-0.525851835,746,728,421,18,288
"Saale0Holzland-Kreis",12,691,476,215,212,3,"2010",7.2,355,479,57.58333333,4.053233174,5.872117789,-7.372654155,0,1.442588727,6.405771631,691,677,461,12,205
"Saale0Holzland-Kreis",19,818,441,376,376,0,"2013",8.08,436,570,43.05263158,3.762423357,6.077642243,18.37916064,-100,1.435087719,0.519968518,813,793,591,10,192
"Saale0Holzland-Kreis",16,640,287,353,353,0,"2016",9.03,448,596,40,3.688879454,6.104793232,-21.7603912,NA,1.073825503,25.17352849,637,632,405,5,222
"Saale0Holzland-Kreis",16,722,379,343,343,0,"2019",9.78,474,648,45.125,3.809436417,6.161207322,12.8125,NA,1.114197531,-3.759645062,719,717,388,5,324
"Saale0Orla-Kreis",18,11150,11050,101,101,0,"2004",8.29,544,644,619.4444444,6.428823019,6.298949247,NA,NA,17.3136646,NA,11150.285,11136.356,9462.168,7.358,1666.83
"Saale0Orla-Kreis",23,11480,11212,269,269,0,"2007",9.28,575,691,499.1304348,6.212867454,6.354370041,2.959641256,NA,16.61360347,4.043402361,11480,11321,9955,1338,28
"Saale0Orla-Kreis",18,10834,10566,268,268,0,"2010",7.2,647,767,601.8888889,6.400072858,6.472346295,-5.6271777,NA,14.12516297,14.97833089,10834,10713,9677,1002,34
"Saale0Orla-Kreis",17,10885,10610,274,263,11,"2013",8.08,716,857,640.2941176,6.46192763,6.573680167,0.470740262,Inf,12.70128355,10.080446,10885,10874,10842,26,7
"Saale0Orla-Kreis",18,11103,10791,312,312,0,"2016",9.03,752,913,616.8333333,6.424598863,6.622736324,2.002756086,-100,12.16100767,4.253710881,11099,11099,11066,31,2
"Saale0Orla-Kreis",19,10282,9993,289,289,0,"2019",9.78,810,984,541.1578947,6.293711093,6.697034248,-7.39439791,NA,10.44918699,14.07630619,10281,10277,623,9614,41
"Saalfeld0Rudolstadt",26,3694.144,2899.54,794.604,61.972,732.632,"2004",8.29,518,652,142.0824615,4.956407604,6.249975242,NA,NA,5.665865031,NA,3694.144,3520.332,2724.351,183.16,612.821
"Saalfeld0Rudolstadt",21,11320,8004,3316,122,3194,"2007",9.28,844,953,539.047619,6.289803914,6.738152495,206.430935,335.9623931,11.87827912,-109.646348,11320,7125,3408,2737,980
"Saalfeld0Rudolstadt",21,11996,8695,3301,133,3168,"2010",7.2,661,781,571.2380952,6.347806102,6.49375384,5.971731449,-0.814026299,15.35979513,-29.30993607,11996,7850,4128,2755,967
"Saalfeld0Rudolstadt",22,10129,7179,2950,186,2764,"2013",8.08,747,891,460.4090909,6.132115422,6.616065185,-15.56352117,-12.75252525,11.3681257,25.98777782,6693,6459,2581,388,3491
"Saalfeld0Rudolstadt",20,11520,8664,2856,202,2654,"2016",9.03,865,1020,576,6.356107661,6.762729507,13.73284628,-3.979739508,11.29411765,0.651013688,8420,8408,4004,858,3545
"Saalfeld0Rudolstadt",22,12930,9623,3307,221,3086,"2019",9.78,926,1100,587.7272727,6.376263018,6.830874235,12.23958333,16.27731726,11.75454545,-4.076704545,9494,9483,4843,606,4034
"Schmalkalden0Meiningen",25,1487.222,1333.14,154.082,115,39,"2004",8.29,679,835,59.48888,4.085789404,6.520621128,NA,NA,1.781104192,NA,1487.222,1409.633,909.395,119.873,380.365
"Schmalkalden0Meiningen",32,3271,2194,1078,276,802,"2007",9.28,799,950,102.21875,4.627115125,6.683360946,119.9402645,1956.410256,3.443157895,-93.31591666,3271,2623,1243,1256,125
"Schmalkalden0Meiningen",26,3039,2117,922,180,743,"2010",7.2,803,967,116.8846154,4.761187255,6.688354714,-7.092632223,-7.356608479,3.142709411,8.725957199,3039,2364,1137,1159,68
"Schmalkalden0Meiningen",26,2438,1935,504,306,198,"2013",8.08,864,1050,93.76923077,4.540836772,6.761572769,-19.77624218,-73.3512786,2.321904762,26.11773923,2409,2382,1017,1274,91
"Schmalkalden0Meiningen",27,2400,1847,553,310,244,"2016",9.03,1072,1275,88.88888889,4.48738715,6.977281342,-1.558654635,23.23232323,1.882352941,18.93065676,2363,2357,1079,1204,74
"Schmalkalden0Meiningen",25,3075,2731,344,291,53,"2019",9.78,1044,1270,123,4.812184355,6.950814768,28.125,-78.27868852,2.421259843,-28.62942913,3021,3013,1766,1195,52
"Sömmerda",8,336.183875,NA,NA,NA,0,"2004",8.29,521,610,NA,NA,6.255750042,NA,NA,0.551121107,NA,NA,NA,NA,0,0
"Sömmerda",9,2669,2364,306,306,0,"2007",9.28,431,523,296.5555556,5.692234572,6.06610809,693.9107728,NA,5.103250478,-825.9762359,2669,2665,2569,33,63
"Sömmerda",16,2235,1679,557,317,239,"2010",7.2,312,418,139.6875,4.939407785,5.743003188,-16.26077182,Inf,5.346889952,-4.77420176,2235,2012,1886,69,57
"Sömmerda",21,1914,1429,485,375,110,"2013",8.08,456,569,91.14285714,4.512428134,6.12249281,-14.36241611,-53.9748954,3.363796134,37.0887345,1799,1799,731,32,1036
"Sömmerda",18,2117,1434,683,490,193,"2016",9.03,531,650,117.6111111,4.767383513,6.274762021,10.60606061,75.45454545,3.256923077,3.177156177,1939,1939,896,11,1033
"Sömmerda",19,2374,1597,777,554,222,"2019",9.78,623,754,124.9473684,4.827892596,6.434546519,12.1398205,15.02590674,3.148541114,3.327740948,2150,1650,1048,5,597
"Sonneberg",15,414.992,301.832,113.16,113.16,0,"2004",8.29,417,467,27.66613333,3.320209042,6.033086222,NA,NA,0.888633833,NA,414.992,412.181,394.429,0,17.752
"Sonneberg",10,416,294,122,122,0,"2007",9.28,434,486,41.6,3.728100167,6.073044534,0.242896249,NA,0.855967078,3.676064716,416,408,276,0,132
"Sonneberg",10,500,380,121,121,0,"2010",7.2,489,551,50,3.912023005,6.192362489,20.19230769,NA,0.907441016,-6.013541812,500,388,269,0,119
"Sonneberg",12,477,384,93,93,0,"2013",8.08,575,633,39.75,3.682609841,6.354370041,-4.6,NA,0.753554502,16.95829384,475,355,310,0,45
"Sonneberg",11,343,262,81,81,0,"2016",9.03,604,677,31.18181818,3.439835174,6.403574198,-28.09224319,NA,0.506646972,32.7657163,341,321,281,0,40
"Sonneberg",10,378,294,84,84,0,"2019",9.78,637,711,37.8,3.632309103,6.456769656,10.20408163,NA,0.53164557,-4.934125549,376,360,320,0,40
"Stadt Eisenach",3,321,NA,NA,NA,NA,"2004",8.29,622,664,NA,NA,6.432940093,NA,NA,0.483433735,NA,NA,NA,NA,0,0
"Stadt Eisenach",6,803,727,77,64,13,"2007",9.28,587,626,133.8333333,4.896595245,6.37502482,150.1557632,NA,1.282747604,-165.3409374,803,431,383,0,48
"Stadt Eisenach",3,714,NA,NA,NA,0,"2010",7.2,354,403,238,5.472270674,5.869296913,-11.08343711,-100,1.771712159,-38.11853193,714,388,23,0,365
"Stadt Eisenach",5,613,537,76,73,3,"2013",8.08,380,433,122.6,4.808927024,5.940171253,-14.14565826,Inf,1.415704388,20.09399603,383,383,215,0,168
"Stadt Eisenach",6,501,378,123,123,0,"2016",9.03,666,736,83.5,4.424846632,6.501289671,-18.27079935,-100,0.680706522,51.91746755,478,478,360,38,80
"Stadt Eisenach",6,390,270,120,120,0,"2019",9.78,525,588,65,4.17438727,6.263398263,-22.15568862,NA,0.663265306,2.562222494,391,391,206,10,175
"Stadt Erfurt",8,933.471,199.431,734.04,734.04,0,"2004",8.29,591,861,116.683875,4.759468355,6.381816017,NA,NA,1.084170732,NA,933.471,923.384,817.758,91.88,13.746
"Stadt Erfurt",23,2466,1166,1300,1185,115,"2007",9.28,754,1025,107.2173913,4.674858468,6.625392368,164.1753199,Inf,2.405853659,-121.9072687,2466,2356,1944,103,308
"Stadt Erfurt",22,2319,1180,1139,1098,42,"2010",7.2,704,1019,105.4090909,4.657848884,6.556778356,-5.96107056,-63.47826087,2.27576055,5.407357531,2319,2259,1921,102,235
"Stadt Erfurt",30,2356,1117,1239,1209,30,"2013",8.08,783,1111,78.53333333,4.363523163,6.663132696,1.595515308,-28.57142857,2.120612061,6.817434654,2304,2299,1881,207,212
"Stadt Erfurt",31,2883,1280,1603,1556,47,"2016",9.03,761,1157,93,4.532599493,6.634633358,22.36842105,56.66666667,2.49178911,-17.503298,2796,2791,2388,216,187
"Stadt Erfurt",31,3127,1313,1814,1763,52,"2019",9.78,846,1241,100.8709677,4.613842153,6.74051936,8.463406174,10.63829787,2.519742143,-1.121805756,3029,3024,2590,334,99
"Stadt Gera",2,113.912754545455,NA,NA,NA,0,"2004",8.29,178,258,NA,NA,5.18178355,NA,NA,NA,NA,NA,NA,NA,0,0
"Stadt Gera",7,205,145,60,60,0,"2007",9.28,240,315,29.28571429,3.37709983,5.480638923,NA,NA,0.650793651,NA,205,204,166,22,16
"Stadt Gera",7,182,155,26,26,0,"2010",7.2,306,386,26,3.258096538,5.723585102,-11.2195122,NA,0.471502591,27.54960192,182,181,134,33,14
"Stadt Gera",9,368,241,127,125,2,"2013",8.08,265,357,40.88888889,3.710858361,5.579729826,102.1978022,Inf,1.030812325,-118.6228337,367,244,220,0,24
"Stadt Gera",10,378,171,207,207,0,"2016",9.03,314,420,37.8,3.632309103,5.749392986,2.717391304,-100,0.9,12.69021739,378,329,302,0,27
"Stadt Gera",9,955.4005,NA,NA,NA,NA,"2019",9.78,318,440,NA,NA,5.762051383,152.751455,NA,2.171364773,-141.2627525,NA,NA,NA,0,0
"Stadt Jena",12,531.237,NA,NA,294.314,NA,"2004",8.29,589,650,44.26975,3.7903016,6.378426184,NA,NA,0.817287692,NA,531.237,472.173,280.3,13.655,178.218
"Stadt Jena",11,1310.66375,NA,NA,NA,NA,"2007",9.28,841,926,NA,NA,6.73459166,146.7192138,NA,1.415403618,-73.18303347,NA,NA,NA,0,0
"Stadt Jena",11,1140,751,388,167,221,"2010",7.2,754,860,103.6363636,4.640888269,6.625392368,-13.02116962,NA,1.325581395,6.346050076,1140,1136,434,0,701
"Stadt Jena",12,983,NA,NA,NA,NA,"2013",8.08,834,949,81.91666667,4.40570247,6.726233402,-13.77192982,NA,1.035827187,21.85865084,974,967,477,5,485
"Stadt Jena",12,1441.7955,NA,NA,NA,NA,"2016",9.03,958,1090,NA,NA,6.864847778,46.67299084,NA,1.322748165,-27.6996957,1153,1153,697,81,375
"Stadt Jena",14,1690,867,823,608,215,"2019",9.78,1142,1297,120.7142857,4.793426478,7.04053639,17.21495871,NA,1.303006939,1.492440252,1419,1419,661,45,713
"Stadt Suhl",5,134.515,24,110.567,110.567,0,"2004",8.29,130,172,26.903,3.292237805,4.86753445,NA,NA,0.782063953,NA,134.515,134.515,108.689,5.565,20.261
"Stadt Suhl",2,92.2874285714286,NA,NA,NA,NA,"2007",9.28,159,202,NA,NA,5.068904202,NA,NA,NA,NA,NA,NA,NA,0,0
"Stadt Suhl",3,117,NA,NA,NA,0,"2010",7.2,94,133,39,3.663561646,4.543294782,NA,NA,0.879699248,NA,117,117,108,0,10
"Stadt Suhl",4,190,NA,NA,NA,0,"2013",8.08,127,180,47.5,3.860729711,4.844187086,62.39316239,NA,1.055555556,-19.99050332,190,190,190,0,0
"Stadt Suhl",3,132,0,132,132,0,"2016",9.03,156,205,44,3.784189634,5.049856007,-30.52631579,NA,0.643902439,38.9987163,132,132,132,0,0
"Stadt Suhl",4,234,0,234,234,0,"2019",9.78,194,247,58.5,4.069026754,5.267858159,77.27272727,NA,0.947368421,-47.1291866,234,234,234,0,0
"Stadt Weimar",3,321,0,NA,NA,0,"2004",8.29,135,182,NA,NA,4.905274778,NA,NA,1.763736264,NA,NA,NA,NA,0,0
"Stadt Weimar",4,212,0,NA,NA,NA,"2007",9.28,138,191,NA,NA,4.927253685,-33.95638629,NA,1.109947644,37.06838903,NA,NA,NA,0,0
"Stadt Weimar",5,344,NA,NA,NA,0,"2010",7.2,171,238,68.8,4.231203745,5.141663557,62.26415094,NA,1.445378151,-30.22039004,344,344,308,36,0
"Stadt Weimar",7,417,NA,NA,NA,0,"2013",8.08,181,254,59.57142857,4.087176073,5.198497031,21.22093023,NA,1.641732283,-13.58496612,417,417,389,28,0
"Stadt Weimar",9,955.4005,NA,NA,NA,NA,"2016",9.03,215,281,NA,NA,5.370638028,129.1128297,NA,3.400001779,-107.0984297,421,421,396,25,0
"Stadt Weimar",7,273.5,NA,NA,NA,NA,"2019",9.78,226,286,NA,NA,5.420534999,-71.37326179,NA,0.956293706,71.87372924,NA,NA,NA,0,0
"Unstrut0Hainich-Kreis",17,246.831,61.67,185.161,185.161,0,"2004",8.29,269,383,14.51947059,2.675490548,5.59471138,NA,NA,0.644467363,NA,246.831,237.831,176.382,41.695,19.754
"Unstrut0Hainich-Kreis",20,897,619,278,278,0,"2007",9.28,341,462,44.85,3.803323589,5.831882477,263.4065413,NA,1.941558442,-201.2655959,897,886,848,27,11
"Unstrut0Hainich-Kreis",18,672,361,311,285,26,"2010",7.2,396,545,37.33333333,3.619886583,5.981414211,-25.08361204,Inf,1.233027523,36.49289681,672,479,430,28,21
"Unstrut0Hainich-Kreis",22,933,488,445,419,26,"2013",8.08,448,606,42.40909091,3.747362747,6.104793232,38.83928571,0,1.53960396,-24.86371405,901,821,761,31,29
"Unstrut0Hainich-Kreis",26,1028,509,519,495,24,"2016",9.03,510,698,39.53846154,3.677273908,6.234410726,10.18220793,-7.692307692,1.47277937,4.340375349,986,910,867,17,26
"Unstrut0Hainich-Kreis",27,1165,594,571,558,14,"2019",9.78,524,716,43.14814815,3.7646395,6.261491684,13.32684825,-41.66666667,1.627094972,-10.47784927,1144,1036,996,15,25
"Wartburgkreis",21,14682,14530,151.649,138,14,"2004",8.29,741,872,699.1428571,6.549855095,6.608000625,NA,NA,16.83715596,NA,14681.514,13975.789,13760.731,34.525,180.533
"Wartburgkreis",24,16219,15800,419,419,0,"2007",9.28,961,1095,675.7916667,6.515884843,6.867974409,10.46860101,-100,14.81187215,12.02865746,16219,15548,15192,45,312
"Wartburgkreis",18,12841,12520,321,321,0,"2010",7.2,988,1136,713.3888889,6.570026698,6.895682698,-20.82742463,NA,11.30369718,23.68488553,12841,12241,11259,150,832
"Wartburgkreis",21,12127,11775,352,352,0,"2013",8.08,1055,1224,577.4761905,6.358667213,6.961296046,-5.560314617,NA,9.907679739,12.35009592,12126,11553,10571,258,724
"Wartburgkreis",20,11084,10715,369,369,0,"2016",9.03,1123,1308,554.2,6.317525632,7.023758955,-8.600643193,NA,8.474006116,14.47032666,11083,10523,9434,353,735
"Wartburgkreis",22,12448,11980,468,434,34,"2019",9.78,1263,1462,565.8181818,6.338272793,7.141245122,12.30602671,Inf,8.514363885,-0.476253714,11820,11276,9142,1397,737
"Weimarer Land",9,455.602,131.722,323.88,323.88,0,"2004",8.29,329,427,50.62244444,3.924395044,5.796057751,NA,NA,1.066983607,NA,455.602,399.542,378.36,1.8,19.382
"Weimarer Land",19,897,335,562,493,70,"2007",9.28,386,494,47.21052632,3.854616883,5.955837369,96.88236663,Inf,1.815789474,-70.17969747,897,861,745,17,100
"Weimarer Land",19,812,283,529,483,46,"2010",7.2,344,483,42.73684211,3.755061361,5.840641657,-9.476031215,-34.28571429,1.68115942,7.414408738,812,809,697,9,103
"Weimarer Land",17,792,221,571,520,51,"2013",8.08,397,568,46.58823529,3.841348048,5.983936281,-2.463054187,10.86956522,1.394366197,17.05925206,789,789,771,0,18
"Weimarer Land",19,996,372,624,579,45,"2016",9.03,436,625,52.42105263,3.959308278,6.077642243,25.75757576,-11.76470588,1.5936,-14.28848485,994,994,951,21,21
"Weimarer Land",18,689,191,498,494,4,"2019",9.78,417,634,38.27777778,3.644869513,6.033086222,-30.82329317,-91.11111111,1.086750789,31.8052969,689,689,681,3,5
