"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ","log_gva_2004","log_gva_std","log_wa"
"Schmalkalden0Meiningen",32,3271,2194,1078,276,802,2007,9.28,799,950,102.21875,4.627115125,6.683360946,119.9402645,1956.410256,3.443157895,-93.31591666,3271,2623,1243,1256,125,6.520621128,0.162739817999999,8.09285102753838
"Schmalkalden0Meiningen",26,3039,2117,922,180,743,2010,7.2,803,967,116.8846154,4.761187255,6.688354714,-7.092632223,-7.356608479,3.142709411,8.725957199,3039,2364,1137,1159,68,6.520621128,0.167733586,8.01928379291679
"Schmalkalden0Meiningen",26,2438,1935,504,306,198,2013,8.08,864,1050,93.76923077,4.540836772,6.761572769,-19.77624218,-73.3512786,2.321904762,26.11773923,2409,2382,1017,1274,91,6.520621128,0.240951641,7.79893331004122
"Schmalkalden0Meiningen",27,2400,1847,553,310,244,2016,9.03,1072,1275,88.88888889,4.48738715,6.977281342,-1.558654635,23.23232323,1.882352941,18.93065676,2363,2357,1079,1204,74,6.520621128,0.456660214,7.78322401633604
"Schmalkalden0Meiningen",25,3075,2731,344,291,53,2019,9.78,1044,1270,123,4.812184355,6.950814768,28.125,-78.27868852,2.421259843,-28.62942913,3021,3013,1766,1195,52,6.520621128,0.43019364,8.03106018024062
"Sömmerda",8,336.183875,NA,NA,NA,0,2004,8.29,521,610,NA,NA,6.255750042,NA,NA,0.551121107,NA,NA,NA,NA,0,0,6.255750042,0,5.81765825730197
"Sömmerda",9,2669,2364,306,306,0,2007,9.28,431,523,296.5555556,5.692234572,6.06610809,693.9107728,NA,5.103250478,-825.9762359,2669,2665,2569,33,63,6.255750042,-0.189641952,7.88945914940452
"Sömmerda",16,2235,1679,557,317,239,2010,7.2,312,418,139.6875,4.939407785,5.743003188,-16.26077182,Inf,5.346889952,-4.77420176,2235,2012,1886,69,57,6.255750042,-0.512746854,7.71199650704767
"Sömmerda",21,1914,1429,485,375,110,2013,8.08,456,569,91.14285714,4.512428134,6.12249281,-14.36241611,-53.9748954,3.363796134,37.0887345,1799,1799,731,32,1036,6.255750042,-0.133257232,7.5569505720129
"Sömmerda",18,2117,1434,683,490,193,2016,9.03,531,650,117.6111111,4.767383513,6.274762021,10.60606061,75.45454545,3.256923077,3.177156177,1939,1939,896,11,1033,6.255750042,0.0190119790000001,7.65775527113487
"Sömmerda",19,2374,1597,777,554,222,2019,9.78,623,754,124.9473684,4.827892596,6.434546519,12.1398205,15.02590674,3.148541114,3.327740948,2150,1650,1048,5,597,6.255750042,0.178796477000001,7.77233157516961
"Sonneberg",15,414.992,301.832,113.16,113.16,0,2004,8.29,417,467,27.66613333,3.320209042,6.033086222,NA,NA,0.888633833,NA,414.992,412.181,394.429,0,17.752,6.033086222,0,6.02825924293646
"Sonneberg",10,416,294,122,122,0,2007,9.28,434,486,41.6,3.728100167,6.073044534,0.242896249,NA,0.855967078,3.676064716,416,408,276,0,132,6.033086222,0.0399583120000004,6.03068526026126
"Sonneberg",10,500,380,121,121,0,2010,7.2,489,551,50,3.912023005,6.192362489,20.19230769,NA,0.907441016,-6.013541812,500,388,269,0,119,6.033086222,0.159276267,6.21460809842219
"Sonneberg",12,477,384,93,93,0,2013,8.08,575,633,39.75,3.682609841,6.354370041,-4.6,NA,0.753554502,16.95829384,475,355,310,0,45,6.033086222,0.321283819,6.16751649088834
"Sonneberg",11,343,262,81,81,0,2016,9.03,604,677,31.18181818,3.439835174,6.403574198,-28.09224319,NA,0.506646972,32.7657163,341,321,281,0,40,6.033086222,0.370487976000001,5.83773044716594
"Sonneberg",10,378,294,84,84,0,2019,9.78,637,711,37.8,3.632309103,6.456769656,10.20408163,NA,0.53164557,-4.934125549,376,360,320,0,40,6.033086222,0.423683434,5.93489419561959
"Stadt Eisenach",3,321,NA,NA,NA,NA,2004,8.29,622,664,NA,NA,6.432940093,NA,NA,0.483433735,NA,NA,NA,NA,0,0,6.432940093,0,5.77144112313002
"Stadt Eisenach",6,803,727,77,64,13,2007,9.28,587,626,133.8333333,4.896595245,6.37502482,150.1557632,NA,1.282747604,-165.3409374,803,431,383,0,48,6.432940093,-0.0579152729999999,6.68835471394676
"Stadt Eisenach",3,714,NA,NA,NA,0,2010,7.2,354,403,238,5.472270674,5.869296913,-11.08343711,-100,1.771712159,-38.11853193,714,388,23,0,365,6.432940093,-0.56364318,6.57088296233958
"Stadt Eisenach",5,613,537,76,73,3,2013,8.08,380,433,122.6,4.808927024,5.940171253,-14.14565826,Inf,1.415704388,20.09399603,383,383,215,0,168,6.432940093,-0.49276884,6.41836493593621
"Stadt Eisenach",6,501,378,123,123,0,2016,9.03,666,736,83.5,4.424846632,6.501289671,-18.27079935,-100,0.680706522,51.91746755,478,478,360,38,80,6.432940093,0.0683495780000003,6.21660610108486
"Stadt Eisenach",6,390,270,120,120,0,2019,9.78,525,588,65,4.17438727,6.263398263,-22.15568862,NA,0.663265306,2.562222494,391,391,206,10,175,6.432940093,-0.16954183,5.96614673912369
"Stadt Erfurt",8,933.471,199.431,734.04,734.04,0,2004,8.29,591,861,116.683875,4.759468355,6.381816017,NA,NA,1.084170732,NA,933.471,923.384,817.758,91.88,13.746,6.381816017,0,6.83890989661813
"Stadt Erfurt",23,2466,1166,1300,1185,115,2007,9.28,754,1025,107.2173913,4.674858468,6.625392368,164.1753199,Inf,2.405853659,-121.9072687,2466,2356,1944,103,308,6.381816017,0.243576351,7.81035268372429
"Stadt Erfurt",22,2319,1180,1139,1098,42,2010,7.2,704,1019,105.4090909,4.657848884,6.556778356,-5.96107056,-63.47826087,2.27576055,5.407357531,2319,2259,1921,102,235,6.381816017,0.174962338999999,7.74889133725553
"Stadt Erfurt",30,2356,1117,1239,1209,30,2013,8.08,783,1111,78.53333333,4.363523163,6.663132696,1.595515308,-28.57142857,2.120612061,6.817434654,2304,2299,1881,207,212,6.381816017,0.281316679,7.76472054477148
"Stadt Erfurt",31,2883,1280,1603,1556,47,2016,9.03,761,1157,93,4.532599493,6.634633358,22.36842105,56.66666667,2.49178911,-17.503298,2796,2791,2388,216,187,6.381816017,0.252817341,7.9665866976384
"Stadt Erfurt",31,3127,1313,1814,1763,52,2019,9.78,846,1241,100.8709677,4.613842153,6.74051936,8.463406174,10.63829787,2.519742143,-1.121805756,3029,3024,2590,334,99,6.381816017,0.358703343,8.04782935745784
"Stadt Gera",2,113.912754545455,NA,NA,NA,0,2004,8.29,178,258,NA,NA,5.18178355,NA,NA,NA,NA,NA,NA,NA,0,0,5.18178355,0,4.73543284438975
"Stadt Gera",7,205,145,60,60,0,2007,9.28,240,315,29.28571429,3.37709983,5.480638923,NA,NA,0.650793651,NA,205,204,166,22,16,5.18178355,0.298855373,5.32300997913841
"Stadt Gera",7,182,155,26,26,0,2010,7.2,306,386,26,3.258096538,5.723585102,-11.2195122,NA,0.471502591,27.54960192,182,181,134,33,14,5.18178355,0.541801552000001,5.2040066870768
"Stadt Gera",9,368,241,127,125,2,2013,8.08,265,357,40.88888889,3.710858361,5.579729826,102.1978022,Inf,1.030812325,-118.6228337,367,244,220,0,24,5.18178355,0.397946276000001,5.90808293816893
"Stadt Gera",10,378,171,207,207,0,2016,9.03,314,420,37.8,3.632309103,5.749392986,2.717391304,-100,0.9,12.69021739,378,329,302,0,27,5.18178355,0.567609436000001,5.93489419561959
"Stadt Gera",9,955.4005,NA,NA,NA,NA,2019,9.78,318,440,NA,NA,5.762051383,152.751455,NA,2.171364773,-141.2627525,NA,NA,NA,0,0,5.18178355,0.580267833000001,6.86213062429673
"Stadt Jena",12,531.237,NA,NA,294.314,NA,2004,8.29,589,650,44.26975,3.7903016,6.378426184,NA,NA,0.817287692,NA,531.237,472.173,280.3,13.655,178.218,6.378426184,0,6.27520824935098
"Stadt Jena",11,1310.66375,NA,NA,NA,NA,2007,9.28,841,926,NA,NA,6.73459166,146.7192138,NA,1.415403618,-73.18303347,NA,NA,NA,0,0,6.378426184,0.356165476,7.17828896726585
"Stadt Jena",11,1140,751,388,167,221,2010,7.2,754,860,103.6363636,4.640888269,6.625392368,-13.02116962,NA,1.325581395,6.346050076,1140,1136,434,0,701,6.378426184,0.246966184,7.03878354138854
"Stadt Jena",12,983,NA,NA,NA,NA,2013,8.08,834,949,81.91666667,4.40570247,6.726233402,-13.77192982,NA,1.035827187,21.85865084,974,967,477,5,485,6.378426184,0.347807218,6.89060912014717
"Stadt Jena",12,1441.7955,NA,NA,NA,NA,2016,9.03,958,1090,NA,NA,6.864847778,46.67299084,NA,1.322748165,-27.6996957,1153,1153,697,81,375,6.378426184,0.486421593999999,7.27364449086698
"Stadt Jena",14,1690,867,823,608,215,2019,9.78,1142,1297,120.7142857,4.793426478,7.04053639,17.21495871,NA,1.303006939,1.492440252,1419,1419,661,45,713,6.378426184,0.662110206,7.43248380791712
"Stadt Suhl",5,134.515,24,110.567,110.567,0,2004,8.29,130,172,26.903,3.292237805,4.86753445,NA,NA,0.782063953,NA,134.515,134.515,108.689,5.565,20.261,4.86753445,0,4.9016757169871
"Stadt Suhl",2,92.2874285714286,NA,NA,NA,NA,2007,9.28,159,202,NA,NA,5.068904202,NA,NA,NA,NA,NA,NA,NA,0,0,4.86753445,0.201369752,4.52490793040615
"Stadt Suhl",3,117,NA,NA,NA,0,2010,7.2,94,133,39,3.663561646,4.543294782,NA,NA,0.879699248,NA,117,117,108,0,10,4.86753445,-0.324239668,4.76217393479776
"Stadt Suhl",4,190,NA,NA,NA,0,2013,8.08,127,180,47.5,3.860729711,4.844187086,62.39316239,NA,1.055555556,-19.99050332,190,190,190,0,0,4.86753445,-0.0233473640000001,5.24702407216049
"Stadt Suhl",3,132,0,132,132,0,2016,9.03,156,205,44,3.784189634,5.049856007,-30.52631579,NA,0.643902439,38.9987163,132,132,132,0,0,4.86753445,0.182321557,4.88280192258637
"Stadt Suhl",4,234,0,234,234,0,2019,9.78,194,247,58.5,4.069026754,5.267858159,77.27272727,NA,0.947368421,-47.1291866,234,234,234,0,0,4.86753445,0.400323709,5.4553211153577
"Stadt Weimar",3,321,0,NA,NA,0,2004,8.29,135,182,NA,NA,4.905274778,NA,NA,1.763736264,NA,NA,NA,NA,0,0,4.905274778,0,5.77144112313002
"Stadt Weimar",4,212,0,NA,NA,NA,2007,9.28,138,191,NA,NA,4.927253685,-33.95638629,NA,1.109947644,37.06838903,NA,NA,NA,0,0,4.905274778,0.0219789070000003,5.35658627467201
"Stadt Weimar",5,344,NA,NA,NA,0,2010,7.2,171,238,68.8,4.231203745,5.141663557,62.26415094,NA,1.445378151,-30.22039004,344,344,308,36,0,4.905274778,0.236388779,5.8406416573734
"Stadt Weimar",7,417,NA,NA,NA,0,2013,8.08,181,254,59.57142857,4.087176073,5.198497031,21.22093023,NA,1.641732283,-13.58496612,417,417,389,28,0,4.905274778,0.293222253,6.0330862217988
"Stadt Weimar",9,955.4005,NA,NA,NA,NA,2016,9.03,215,281,NA,NA,5.370638028,129.1128297,NA,3.400001779,-107.0984297,421,421,396,25,0,4.905274778,0.46536325,6.86213062429673
"Stadt Weimar",7,273.5,NA,NA,NA,NA,2019,9.78,226,286,NA,NA,5.420534999,-71.37326179,NA,0.956293706,71.87372924,NA,NA,NA,0,0,4.905274778,0.515260221,5.61130162186204
"Unstrut0Hainich-Kreis",17,246.831,61.67,185.161,185.161,0,2004,8.29,269,383,14.51947059,2.675490548,5.59471138,NA,NA,0.644467363,NA,246.831,237.831,176.382,41.695,19.754,5.59471138,0,5.50870389192281
"Unstrut0Hainich-Kreis",20,897,619,278,278,0,2007,9.28,341,462,44.85,3.803323589,5.831882477,263.4065413,NA,1.941558442,-201.2655959,897,886,848,27,11,5.59471138,0.237171097,6.7990558620588
"Unstrut0Hainich-Kreis",18,672,361,311,285,26,2010,7.2,396,545,37.33333333,3.619886583,5.981414211,-25.08361204,Inf,1.233027523,36.49289681,672,479,430,28,21,5.59471138,0.386702831,6.51025834052315
"Unstrut0Hainich-Kreis",22,933,488,445,419,26,2013,8.08,448,606,42.40909091,3.747362747,6.104793232,38.83928571,0,1.53960396,-24.86371405,901,821,761,31,29,5.59471138,0.510081852,6.83840520084734
"Unstrut0Hainich-Kreis",26,1028,509,519,495,24,2016,9.03,510,698,39.53846154,3.677273908,6.234410726,10.18220793,-7.692307692,1.47277937,4.340375349,986,910,867,17,26,5.59471138,0.639699346,6.93537044601511
"Unstrut0Hainich-Kreis",27,1165,594,571,558,14,2019,9.78,524,716,43.14814815,3.7646395,6.261491684,13.32684825,-41.66666667,1.627094972,-10.47784927,1144,1036,996,15,25,5.59471138,0.666780304,7.0604763659998
"Wartburgkreis",21,14682,14530,151.649,138,14,2004,8.29,741,872,699.1428571,6.549855095,6.608000625,NA,NA,16.83715596,NA,14681.514,13975.789,13760.731,34.525,180.533,6.608000625,0,9.59437753267073
"Wartburgkreis",24,16219,15800,419,419,0,2007,9.28,961,1095,675.7916667,6.515884843,6.867974409,10.46860101,-100,14.81187215,12.02865746,16219,15548,15192,45,312,6.608000625,0.259973784,9.69393867348769
"Wartburgkreis",18,12841,12520,321,321,0,2010,7.2,988,1136,713.3888889,6.570026698,6.895682698,-20.82742463,NA,11.30369718,23.68488553,12841,12241,11259,150,832,6.608000625,0.287682073,9.46039845583127
"Wartburgkreis",21,12127,11775,352,352,0,2013,8.08,1055,1224,577.4761905,6.358667213,6.961296046,-5.560314617,NA,9.907679739,12.35009592,12126,11553,10571,258,724,6.608000625,0.353295421,9.40318965065679
"Wartburgkreis",20,11084,10715,369,369,0,2016,9.03,1123,1308,554.2,6.317525632,7.023758955,-8.600643193,NA,8.474006116,14.47032666,11083,10523,9434,353,735,6.608000625,0.41575833,9.31325790598287
"Wartburgkreis",22,12448,11980,468,434,34,2019,9.78,1263,1462,565.8181818,6.338272793,7.141245122,12.30602671,Inf,8.514363885,-0.476253714,11820,11276,9142,1397,737,6.608000625,0.533244497,9.42931524641817
"Weimarer Land",9,455.602,131.722,323.88,323.88,0,2004,8.29,329,427,50.62244444,3.924395044,5.796057751,NA,NA,1.066983607,NA,455.602,399.542,378.36,1.8,19.382,5.796057751,0,6.12161962137902
"Weimarer Land",19,897,335,562,493,70,2007,9.28,386,494,47.21052632,3.854616883,5.955837369,96.88236663,Inf,1.815789474,-70.17969747,897,861,745,17,100,5.796057751,0.159779618,6.7990558620588
"Weimarer Land",19,812,283,529,483,46,2010,7.2,344,483,42.73684211,3.755061361,5.840641657,-9.476031215,-34.28571429,1.68115942,7.414408738,812,809,697,9,103,5.796057751,0.0445839059999997,6.69950034016168
"Weimarer Land",17,792,221,571,520,51,2013,8.08,397,568,46.58823529,3.841348048,5.983936281,-2.463054187,10.86956522,1.394366197,17.05925206,789,789,771,0,18,5.796057751,0.18787853,6.67456139181443
"Weimarer Land",19,996,372,624,579,45,2016,9.03,436,625,52.42105263,3.959308278,6.077642243,25.75757576,-11.76470588,1.5936,-14.28848485,994,994,951,21,21,5.796057751,0.281584491999999,6.9037472575846
"Weimarer Land",18,689,191,498,494,4,2019,9.78,417,634,38.27777778,3.644869513,6.033086222,-30.82329317,-91.11111111,1.086750789,31.8052969,689,689,681,3,5,5.796057751,0.237028470999999,6.53524127101366
